matchday,date,home_team,away_team,home_score,away_score,matchday_num
Runda 1,12.07. 18:30,Farul Constanta,Unirea Slobozia,0,1,1
Runda 1,12.07. 21:30,FC Hermannstadt,Univ. Craiova,0,0,1
Runda 1,13.07. 17:00,Sepsi Sf. Gheorghe,Poli Iasi,1,0,1
Runda 1,13.07. 19:15,UTA Arad,Rapid Bucuresti,1,1,1
Runda 1,13.07. 22:00,FCSB,'U' Cluj,1,1,1
Runda 1,14.07. 19:00,CFR Cluj,Dinamo Bucuresti,3,2,1
Runda 1,15.07. 18:30,FC Botosani,Otelul Galati,2,3,1
Runda 1,15.07. 21:30,Petrolul Ploiesti,Gloria Buzau,0,0,1
Runda 2,19.07. 19:00,Poli Iasi,FC Botosani,1,0,2
Runda 2,19.07. 22:00,Unirea Slobozia,FCSB,2,2,2
Runda 2,20.07. 19:00,Univ. Craiova,UTA Arad,4,2,2
Runda 2,20.07. 22:00,Rapid Bucuresti,CFR Cluj,2,2,2
Runda 2,21.07. 19:00,'U' Cluj,FC Hermannstadt,3,1,2
Runda 2,21.07. 22:00,Dinamo Bucuresti,Petrolul Ploiesti,4,1,2
Runda 2,22.07. 19:00,Gloria Buzau,Sepsi Sf. Gheorghe,1,2,2
Runda 2,22.07. 22:00,Otelul Galati,Farul Constanta,0,0,2
Runda 3,26.07. 19:00,FC Hermannstadt,Unirea Slobozia,1,1,3
Runda 3,26.07. 22:00,FCSB,Otelul Galati,0,2,3
Runda 3,27.07. 19:00,Poli Iasi,Gloria Buzau,1,2,3
Runda 3,27.07. 22:00,Sepsi Sf. Gheorghe,Dinamo Bucuresti,1,1,3
Runda 3,28.07. 19:00,Farul Constanta,FC Botosani,0,1,3
Runda 3,28.07. 22:00,CFR Cluj,Univ. Craiova,0,2,3
Runda 3,29.07. 19:00,UTA Arad,'U' Cluj,0,0,3
Runda 3,29.07. 22:00,Petrolul Ploiesti,Rapid Bucuresti,1,0,3
Runda 4,02.08. 19:00,Otelul Galati,FC Hermannstadt,1,0,4
Runda 4,02.08. 22:00,Dinamo Bucuresti,Gloria Buzau,4,1,4
Runda 4,03.08. 21:00,Farul Constanta,Poli Iasi,2,0,4
Runda 4,04.08. 19:00,Univ. Craiova,Petrolul Ploiesti,0,0,4
Runda 4,04.08. 22:00,CFR Cluj,'U' Cluj,2,3,4
Runda 4,05.08. 19:00,Unirea Slobozia,UTA Arad,0,1,4
Runda 4,05.08. 22:00,Rapid Bucuresti,Sepsi Sf. Gheorghe,2,2,4
Runda 4,21.11. 20:00,FC Botosani,FCSB,1,0,4
Runda 5,09.08. 21:00,FCSB,Farul Constanta,3,2,5
Runda 5,10.08. 17:00,FC Hermannstadt,FC Botosani,2,1,5
Runda 5,10.08. 19:00,UTA Arad,Otelul Galati,1,1,5
Runda 5,10.08. 22:00,Gloria Buzau,Rapid Bucuresti,1,1,5
Runda 5,11.08. 19:00,Sepsi Sf. Gheorghe,Univ. Craiova,1,2,5
Runda 5,11.08. 22:00,CFR Cluj,Unirea Slobozia,3,0,5
Runda 5,12.08. 19:00,Petrolul Ploiesti,'U' Cluj,0,0,5
Runda 5,12.08. 22:00,Poli Iasi,Dinamo Bucuresti,2,2,5
Runda 6,11.11. 21:00,Otelul Galati,CFR Cluj,0,1,6
Runda 6,16.08. 19:00,Unirea Slobozia,Petrolul Ploiesti,1,2,6
Runda 6,16.08. 22:00,Univ. Craiova,Gloria Buzau,5,1,6
Runda 6,17.08. 19:00,FC Botosani,UTA Arad,1,0,6
Runda 6,17.08. 22:00,FCSB,Poli Iasi,0,1,6
