position,matchday,team,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,1,CFR Cluj,1,0,0,3,2,1,3
2,1,Otelul Galati,1,0,0,3,2,1,3
3,1,Sepsi Sf. Gheorghe,1,0,0,1,0,1,3
4,1,Unirea Slobozia,1,0,0,1,0,1,3
5,1,'U' Cluj,0,1,0,1,1,0,1
6,1,FC Hermannstadt,0,1,0,0,0,0,1
7,1,FCSB,0,1,0,1,1,0,1
8,1,Gloria Buzau,0,1,0,0,0,0,1
9,1,Petrolul Ploiesti,0,1,0,0,0,0,1
10,1,Rapid Bucuresti,0,1,0,1,1,0,1
11,1,UTA Arad,0,1,0,1,1,0,1
12,1,Univ. Craiova,0,1,0,0,0,0,1
13,1,Dinamo Bucuresti,0,0,1,2,3,-1,0
14,1,FC Botosani,0,0,1,2,3,-1,0
15,1,Farul Constanta,0,0,1,0,1,-1,0
16,1,Poli Iasi,0,0,1,0,1,-1,0
1,2,Sepsi Sf. Gheorghe,2,0,0,3,1,2,6
2,2,'U' Cluj,1,1,0,4,2,2,4
3,2,Univ. Craiova,1,1,0,4,2,2,4
4,2,CFR Cluj,1,1,0,5,4,1,4
5,2,Otelul Galati,1,1,0,3,2,1,4
6,2,Unirea Slobozia,1,1,0,3,2,1,4
7,2,Dinamo Bucuresti,1,0,1,6,4,2,3
8,2,Poli Iasi,1,0,1,1,1,0,3
9,2,FCSB,0,2,0,3,3,0,2
10,2,Rapid Bucuresti,0,2,0,3,3,0,2
11,2,Farul Constanta,0,1,1,0,1,-1,1
12,2,Gloria Buzau,0,1,1,1,2,-1,1
13,2,FC Hermannstadt,0,1,1,1,3,-2,1
14,2,UTA Arad,0,1,1,3,5,-2,1
15,2,Petrolul Ploiesti,0,1,1,1,4,-3,1
16,2,FC Botosani,0,0,2,2,4,-2,0
1,3,Univ. Craiova,2,1,0,6,2,4,7
2,3,Otelul Galati,2,1,0,5,2,3,7
3,3,Sepsi Sf. Gheorghe,2,1,0,4,2,2,7
4,3,'U' Cluj,1,2,0,4,2,2,5
5,3,Unirea Slobozia,1,2,0,4,3,1,5
6,3,Dinamo Bucuresti,1,1,1,7,5,2,4
7,3,Gloria Buzau,1,1,1,3,3,0,4
8,3,CFR Cluj,1,1,1,5,6,-1,4
9,3,Petrolul Ploiesti,1,1,1,2,4,-2,4
10,3,FC Botosani,1,0,2,3,4,-1,3
11,3,Poli Iasi,1,0,2,2,3,-1,3
12,3,Rapid Bucuresti,0,2,1,3,4,-1,2
13,3,FC Hermannstadt,0,2,1,2,4,-2,2
14,3,FCSB,0,2,1,3,5,-2,2
15,3,UTA Arad,0,2,1,3,5,-2,2
16,3,Farul Constanta,0,1,2,0,2,-2,1
1,4,Otelul Galati,3,1,0,6,2,4,10
2,4,Univ. Craiova,2,2,0,6,2,4,8
3,4,'U' Cluj,2,2,0,7,4,3,8
4,4,Sepsi Sf. Gheorghe,2,2,0,6,4,2,8
5,4,Dinamo Bucuresti,2,1,1,11,6,5,7
6,4,FC Botosani,2,0,2,4,4,0,6
7,4,Unirea Slobozia,1,2,1,4,4,0,5
8,4,UTA Arad,1,2,1,4,5,-1,5
9,4,Petrolul Ploiesti,1,2,1,2,4,-2,5
10,4,Farul Constanta,1,1,2,2,2,0,4
11,4,CFR Cluj,1,1,2,7,9,-2,4
12,4,Gloria Buzau,1,1,2,4,7,-3,4
13,4,Rapid Bucuresti,0,3,1,5,6,-1,3
14,4,Poli Iasi,1,0,3,2,5,-3,3
